underlying,upx,type,expiration,data_date,strike,bid,ask,implied_vol,delta,dly_opt_pnl,dly_dh_pnl
SPY,272.8399963378906,call,2018-06-15,2018-05-24,275,1.440000057220459,1.4500000476837158,0.09398838947393787,0.3485650407409952,0.34999990463256836,-0.20451305800209987
SPY,272.2099914550781,call,2018-06-15,2018-05-25,275,1.1399999856948853,1.159999966621399,0.0951485091926454,0.3006596730711985,0.2900000810623169,-0.21959767764456498
SPY,269.1199951171875,call,2018-06-15,2018-05-29,275,0.6499999761581421,0.6700000166893005,0.10911349315805809,0.18375720206053814,0.4899999499320984,-0.9290372887413959
SPY,272.5899963378906,call,2018-06-15,2018-05-30,275,1.25,1.2699999809265137,0.10219508523982203,0.3224214739819373,-0.5999999642372131,0.6376377154630581
SPY,270.80999755859375,call,2018-06-15,2018-05-31,275,0.6899999976158142,0.699999988079071,0.10044042377344699,0.21661623792942758,0.5699999928474426,-0.5739098301069476
SPY,273.6099853515625,call,2018-06-15,2018-06-01,275,1.3700000047683716,1.409999966621399,0.10155656664186725,0.3697228525313128,-0.7099999785423279,0.6065228219612115
SPY,274.8900146484375,call,2018-06-15,2018-06-04,275,1.809999942779541,1.8200000524520874,0.10228682765822301,0.4560841180234016,-0.4100000858306885,0.4732560829642757
SPY,275.19000244140625,call,2018-06-15,2018-06-05,275,1.9299999475479126,1.9700000286102295,0.10470839069171473,0.4885545144272534,-0.1499999761581421,0.13681966797393913
SPY,277.42999267578125,call,2018-06-15,2018-06-06,275,3.25,3.299999952316284,0.118158212466645,0.6431211607491769,-1.3299999237060547,1.0943573412768677
SPY,277.3699951171875,call,2018-06-15,2018-06-07,275,3.440000057220459,3.5,0.1291733160629984,0.6591329723209333,-0.20000004768371582,-0.038585699524929254
SPY,278.2200012207031,call,2018-06-15,2018-06-08,275,3.7100000381469727,3.75,0.13963814912079073,0.6890631480922196,-0.25,0.5602670495011888
SPY,278.5799865722656,call,2018-06-15,2018-06-11,275,3.8499999046325684,3.9200000762939453,0.15647952431705098,0.7024840247388053,-0.1700000762939453,0.24805263961474067
